,date,speaker_id,audio_id
0,2020-09-21T13:48:23Z,S2,200921-154823_bem_798_elicit_35
1,2020-09-14T18:24:59Z,S1,200914-202459_bem_d31_elicit_17
2,2020-10-01T23:15:19Z,S1,201002-011519_bem_fb0_elicit_40
3,2020-09-18T07:01:25Z,S1,200918-090125_bem_d31_elicit_12
4,2020-10-06T07:07:21Z,S1,201006-090721_bem_fb0_elicit_13
5,2020-10-03T22:17:34Z,S2,201004-001734_bem_798_elicit_14
6,2020-09-30T11:31:48Z,S1,200930-133148_bem_fb0_elicit_36
7,2020-10-05T21:27:41Z,S1,201005-232741_bem_fb0_elicit_9
8,2020-09-17T07:33:25Z,S3,200917-093325_bem_a40_elicit_41
9,2018-01-01T00:39:53Z,S1,180101-023953_bem_d31_elicit_19
10,2020-10-12T17:23:22Z,S1,201012-192322_bem_fb0_elicit_10
11,2020-09-17T09:39:13Z,S3,200917-113913_bem_a40_elicit_2
12,2020-09-25T03:35:33Z,S2,200925-053533_bem_798_elicit_22
13,2020-09-22T07:36:21Z,S1,200922-093621_bem_d31_elicit_11
14,2020-09-16T20:33:39Z,S4,200916-223339_bem_197_elicit_12
15,2020-10-05T23:14:10Z,S2,201006-011410_bem_798_elicit_34
16,2020-09-16T17:47:44Z,S3,200916-194744_bem_a40_elicit_26
17,2020-10-10T05:34:03Z,S6,201010-073403_bem_526_elicit_17
18,2020-10-12T17:01:24Z,S1,201012-190124_bem_fb0_elicit_21
19,2020-09-18T05:54:58Z,S1,200918-075458_bem_d31_elicit_18
20,2020-09-24T20:22:34Z,S2,200924-222234_bem_798_elicit_4
21,2020-10-06T09:09:29Z,S1,201006-110929_bem_fb0_elicit_1
22,2020-09-24T18:45:25Z,S2,200924-204525_bem_798_elicit_27
23,2020-10-06T09:29:30Z,S1,201006-112930_bem_fb0_elicit_4
24,2020-09-14T19:46:39Z,S1,200914-214639_bem_d31_elicit_44
25,2020-09-17T16:59:36Z,S1,200917-185936_bem_d31_elicit_35
26,2020-09-30T13:05:33Z,S1,200930-150533_bem_fb0_elicit_52
27,2020-10-04T18:57:37Z,S1,201004-205737_bem_fb0_elicit_8
28,2020-09-17T21:14:28Z,S1,200917-231428_bem_d31_elicit_6
29,2020-09-16T03:20:04Z,S11 ,200916-052004_bem_a40_elicit_21
30,2020-09-23T21:05:49Z,S2,200923-230549_bem_798_elicit_28
31,2020-09-16T15:13:39Z,S3,200916-171339_bem_a40_elicit_0
32,2020-09-29T19:54:09Z,S1,200929-215409_bem_fb0_elicit_32
33,2020-09-24T16:10:36Z,S2,200924-181036_bem_798_elicit_39
34,2018-01-01T12:07:52Z,S1,180101-140752_bem_d31_elicit_35
35,2020-10-07T17:17:52Z,S8,201007-191752_bem_c4b_elicit_21
36,2020-09-18T07:14:56Z,S4,200918-091456_bem_197_elicit_0
37,2020-09-21T14:24:47Z,S2,200921-162447_bem_798_elicit_30
38,2018-01-01T04:00:18Z,S1,180101-060018_bem_d31_elicit_47
39,2020-09-17T06:50:55Z,S3,200917-085055_bem_a40_elicit_62
40,2018-01-01T01:16:30Z,S1,180101-031630_bem_d31_elicit_21
41,2020-10-09T09:47:23Z,S15,201009-114723_bem_40e_elicit_42
42,2020-10-01T08:04:06Z,S2,201001-100406_bem_798_elicit_39
43,2020-09-17T21:45:43Z,S1,200917-234543_bem_d31_elicit_35
44,2020-10-10T06:17:38Z,S6,201010-081738_bem_526_elicit_30
45,2020-09-16T18:24:26Z,S3,200916-202426_bem_a40_elicit_42
46,2020-09-14T18:09:32Z,S1,200914-200932_bem_d31_elicit_47
47,2020-09-24T18:09:08Z,S2,200924-200908_bem_798_elicit_0
48,2020-10-10T12:56:57Z,S8,201010-145657_bem_c4b_elicit_18
49,2020-09-18T09:15:41Z,S4,200918-111541_bem_197_elicit_7
50,2020-09-17T21:45:43Z,S1,200917-234543_bem_d31_elicit_33
51,2020-09-16T15:16:35Z,S10,200916-171635_bem_c20_elicit_9
52,2020-10-05T19:24:22Z,S1,201005-212422_bem_fb0_elicit_36
53,2018-01-01T01:18:48Z,S1,180101-031848_bem_d31_elicit_21
54,2020-09-16T15:30:30Z,S3,200916-173030_bem_a40_elicit_30
